ID	redshift	EW(Ha) MAST	EW(Ha) unc MAST	EW(Ha) JADES	EW(Ha) unc JADES	EW(Hb) MAST	EW(Hb) unc MAST	EW(Hb) JADES	EW(Hb) unc JADES	EW([OIII]) MAST	EW([OIII]) unc MAST	EW([OIII]) JADES	EW([OIII]) unc JADES
10001892	4.770522	-220.241822506397	70.90834968849242 Angstrom	-295.479877124306	119.89753541845614 Angstrom	-92.5986275523333	59.871269803597045 Angstrom	-95.5591808531477	79.591741077447 Angstrom	-223.899702424165	64.6109717914248 Angstrom	-218.570418448841	114.51491848774278 Angstrom
10015338	5.07627227996806	-1274.07721323612	58.1311191359779 Angstrom	-1550.64589372323	101.43403452728396 Angstrom	-159.906776580927	23.984208897077817 Angstrom	-139.445915991643	31.674819876256905 Angstrom	-1226.63323399734	36.18039303281619 Angstrom	-1158.03294222601	57.92850685205401 Angstrom
16745	5.56655234405774	-501.418218900666	27.484763319028254 Angstrom	-439.937471262558	30.450683964459305 Angstrom	-70.6879148666571	4.038400224338224 Angstrom	-69.4503514130636	8.471041498595563 Angstrom	-697.542572446265	11.018273992756502 Angstrom	-705.51673613709	22.24066389806907 Angstrom
18976	6.327052	-389.953379388092	29.247668373901572 Angstrom	-548.470426988668	71.82959228987578 Angstrom	-82.0744741796946	7.923805647966359 Angstrom	-167.963381972469	32.45850948672543 Angstrom	-545.264589750146	24.86702647668924 Angstrom	-1070.8927277868	81.91550592788094 Angstrom
4297	6.712776	-859.747548013563	101.87303138982753 Angstrom	-2358.78687559635	272.8750704382077 Angstrom	-334.298461567932	53.55208472531475 Angstrom	-293.906281406885	46.82086272572233 Angstrom	-3374.1448678693	150.0549132915145 Angstrom	-2239.15584914549	142.8591439341377 Angstrom
7762	4.14863310108243	-361.135721950252	7.3442845645768635 Angstrom	-354.944554003948	9.736009327902696 Angstrom	-30.5378067078243	2.0113218424353194 Angstrom	-49.3463352706611	5.751843101455495 Angstrom	-479.520690825079	6.031867126813426 Angstrom	-521.362499065132	12.102573401755366 Angstrom
20961	7.04457065169479	195.944217277361	48.828786885208785 Angstrom	-131.86982794331	75.81364807733314 Angstrom	-101.866976035625	41.24659445967082 Angstrom	-163.132464909925	63.54813481588128 Angstrom	-803.388562926797	111.1483294945616 Angstrom	-683.678493468732	105.68666408897835 Angstrom
4270	4.02261238702772	-967.167767756782	12.398375180769717 Angstrom	-1081.75534130174	25.358963254628428 Angstrom	-86.3493460551228	4.400788647790514 Angstrom	-64.6278697795743	4.4873826473296035 Angstrom	-1188.47422162077	12.598290078543837 Angstrom	-1300.89340555145	23.593769016306133 Angstrom
19342	5.974287	-544.149911371109	42.794448317707996 Angstrom	-829.944840933894	106.59808656382818 Angstrom	-184.445638446314	21.109977789632083 Angstrom	-318.525695794947	60.977891967283604 Angstrom	-1042.81477691973	37.69465442369848 Angstrom	-1998.65201531793	113.1182127904892 Angstrom
10016186	3.92792643507394	-261.908160346238	6.726144998952205 Angstrom	-263.550545778724	9.179883563788222 Angstrom	-41.965139117713	3.615176541520136 Angstrom	-37.6490869565079	6.464975620212603 Angstrom	-313.457571993603	5.278442654882388 Angstrom	-343.178948316731	11.674130109105878 Angstrom
18846	6.335054	-677.858421771885	26.928124140620646 Angstrom	-704.490959794029	44.28543627971432 Angstrom	-197.645708999965	7.667847979492216 Angstrom	-234.549483845054	15.692110654948104 Angstrom	-1216.5123202696	19.237860873492203 Angstrom	-1314.59000304188	31.272879805688227 Angstrom
10013545	4.03498294164463	-412.219331679553	15.344116323634378 Angstrom	-471.857643358721	47.28709416289848 Angstrom	-88.2026245943437	9.466110153524491 Angstrom	-234.646010530813	30.318896368931398 Angstrom	-679.927671840558	14.019749783576243 Angstrom	-708.022228303256	48.533441525034526 Angstrom
10009506	3.59928686455817	-580.371079103838	8.759271737169005 Angstrom	-577.260834051663	17.057251774472363 Angstrom	-43.1619952864788	5.200700390435864 Angstrom	-52.8816417101155	7.0828716371411575 Angstrom	-894.068539699195	10.201108426016269 Angstrom	-943.091515553985	18.60236963992804 Angstrom
10000626	4.46468607001795	-1798.28941265708	165.3779502033657 Angstrom	-1023.82394422932	141.77619509263337 Angstrom	-143.337928741858	53.31854400912469 Angstrom	-235.740625865716	100.03027375687914 Angstrom	-1049.04456650179	72.74240666585148 Angstrom	-1271.63137854846	171.87045075901312 Angstrom
10013620	5.91753186734937	-295.995256463814	18.011037283759183 Angstrom	-346.718248834987	30.642151008873135 Angstrom	-73.8658777195815	10.618116162345887 Angstrom	-73.1506678726749	15.363682675038657 Angstrom	-528.037060590506	22.41260217106675 Angstrom	-544.150204770313	38.396356807588916 Angstrom
7938	4.80631123887867	-643.824666949172	15.455223865547797 Angstrom	-661.128457313373	28.105441849426775 Angstrom	-112.511902604116	8.919902681925684 Angstrom	-93.8456664749945	10.464622338242087 Angstrom	-1110.39561512368	16.101204207176742 Angstrom	-1040.99318797898	22.52059428711177 Angstrom
22251	5.79838391626917	-845.920079891153	29.925477275033884 Angstrom	-1123.32901164667	61.51580761904493 Angstrom	-194.591795371051	17.16099170869024 Angstrom	-185.405622300465	19.459241231641027 Angstrom	-1623.18052953519	30.88534392292813 Angstrom	-1513.14755796698	37.30910702653626 Angstrom
10009848	4.37	15.941136124613	37.293593258311475 Angstrom	54.2155507585765	66.94478542694826 Angstrom	0.305257837036007	18.616512681798486 Angstrom	3.96799501742558	30.953980261892948 Angstrom	-11.5733518766307	35.112983249278585 Angstrom	-1.75135452968469	59.886165137733066 Angstrom
8113	4.90277103561231	-423.077666503178	32.45166159791235 Angstrom	-423.629328452826	56.39779381117833 Angstrom	-107.769898751483	13.142202092118762 Angstrom	-97.811427251009	16.389619018457566 Angstrom	-896.317808319204	21.243047087477635 Angstrom	-903.889264696834	35.22621782629404 Angstrom
7892	4.22872754610498	-891.988482848062	19.982615847460703 Angstrom	-946.068412583643	33.06928327880766 Angstrom	-101.80237620269	5.4480322277494455 Angstrom	-104.39342743064	11.387821295100872 Angstrom	-984.951632517138	12.769293906905695 Angstrom	-1056.51633927046	26.091910365348884 Angstrom
17260	4.88512714601353	-240.453681739614	23.099885207024784 Angstrom	-322.158737130405	41.336443877433176 Angstrom	-18.8015584264546	6.37306280598603 Angstrom	-33.1187465304589	13.506939546143585 Angstrom	-97.9496337181772	13.028102029826599 Angstrom	-139.176707698701	23.311207262096854 Angstrom
10056849	5.8142066790736	-1951.08459336247	65.81034559246602 Angstrom	-1701.69369187527	96.57206077565446 Angstrom	-327.737646672852	36.74805525131034 Angstrom	-462.662881808468	68.31630774268548 Angstrom	-1530.0066115505	46.43606057885166 Angstrom	-1687.52982374529	92.8436500514846 Angstrom
10013618	5.94372301071691	-110.684204962539	7.023037867301453 Angstrom	-114.931610046642	10.262162852596532 Angstrom	-25.211006745238	5.468520285463252 Angstrom	-22.6559312338851	7.897082839953155 Angstrom	-178.976447214018	7.096105904871444 Angstrom	-166.560541160005	11.803620596560624 Angstrom
18028	3.73094591607022	-103.905676498815	13.0263275360799 Angstrom	-236.947071613918	28.840971569479795 Angstrom	-9.14490367606405	8.757110214724698 Angstrom	-139.272649628577	30.56198293280027 Angstrom	-93.4825784664955	18.198719126148927 Angstrom	-518.994651280628	60.807493668967815 Angstrom
10013704	5.919825	-837.199018678048	24.48178378473897 Angstrom	-908.111991497821	47.873638958059956 Angstrom	-158.725719034399	10.613393302236203 Angstrom	-152.718076340598	16.673340210642927 Angstrom	-1026.44110545797	18.072536425188567 Angstrom	-899.685979790804	24.03437608386129 Angstrom
9743	5.44012039584156	-1123.94356719504	123.83871588415566 Angstrom	-1004.1444602415	200.71198172130866 Angstrom	-229.226130074783	112.67501717108212 Angstrom	-444.864784911204	209.3880868336468 Angstrom	-1995.89833456586	183.97039414917722 Angstrom	-3280.44955090613	461.82331658907333 Angstrom
19519	3.60450973158305	-461.602342626362	7.314098501662795 Angstrom	-491.952912975825	16.060957847619946 Angstrom	-57.7993823047008	3.6206187805015166 Angstrom	-100.542175816164	9.691690260334507 Angstrom	-665.90251850988	7.568815888007606 Angstrom	-802.670963477279	16.303239191292327 Angstrom
17566	6.101534	-329.517979441362	17.904752797715897 Angstrom	-389.50071485392	36.04993464977628 Angstrom	-49.6550896657496	8.193364742104697 Angstrom	-63.8379610742678	14.460004101160207 Angstrom	-459.446757401231	16.04442780231326 Angstrom	-494.941626727126	26.826524037982644 Angstrom
4197	3.748809	-44.2571256330658	16.446585918330385 Angstrom	-163.050807428522	68.02823152936779 Angstrom	-86.3452500359687	124.43068204354348 Angstrom	-127.466547177515	288.97310270145914 Angstrom	7.18496604372376	50.05586968133682 Angstrom	-20.7473205362713	101.21428481198753 Angstrom
5759	5.05189382127941	-469.9709449214	28.75461379511041 Angstrom	-591.429428538547	61.37413467027315 Angstrom	-124.575875674468	31.50803528870897 Angstrom	-154.778662880953	54.47878070883924 Angstrom	-937.515399191296	57.58851276995834 Angstrom	-1051.31813453399	100.02880513492183 Angstrom
7507	4.04428024657048	-681.022906825408	19.635060562009908 Angstrom	-765.806714419014	44.593927639084264 Angstrom	-181.240071739945	24.468214929305528 Angstrom	-167.528628670772	31.246114188410928 Angstrom	-1040.05694842067	33.92061333936152 Angstrom	-913.783678934735	43.727493268369656 Angstrom
6384	5.61541238216689	-434.644647894536	101.42783006633599 Angstrom	-185.350685526698	89.40405022709777 Angstrom	-42.6248259618922	25.53277694925817 Angstrom	-50.6795026365069	39.59515522055441 Angstrom	-188.801567889995	40.986118892115414 Angstrom	-170.538448050357	71.46958862527673 Angstrom
10005447	6.62257640301802	1575.54678757705	611.315927164764 Angstrom	-1437.03197753595	673.2611565198256 Angstrom	-498.879741649872	286.4213446142785 Angstrom	-263.256239582765	316.3385535347014 Angstrom	-943.619149777848	182.9073026296096 Angstrom	-1090.67217595185	341.19925440684307 Angstrom
6002	5.93685818347379	-1514.14948753811	76.3077012542784 Angstrom	-1146.42123220995	103.81500444206533 Angstrom	-114.178816385166	10.76452659881375 Angstrom	-114.810279232779	18.056033362485447 Angstrom	-955.07679596979	38.95432146055972 Angstrom	-897.043483834558	45.99437614243978 Angstrom
18090	4.77562372049334	-862.431922901838	20.8153317888822 Angstrom	-776.392653679336	33.9916021008959 Angstrom	-170.509780678022	11.652704558423668 Angstrom	-218.092832771633	21.36913021727065 Angstrom	-1892.19495355006	26.858896128040694 Angstrom	-2274.01435597653	52.95652999267341 Angstrom
10005113	5.820838	-1627.14927167442	76.26258294927885 Angstrom	-1220.7492646237	118.83055737000852 Angstrom	-664.581383203417	88.55890073752013 Angstrom	-936.562737153755	179.604199655153 Angstrom	-2712.47737480526	125.61821719377336 Angstrom	-2965.2676540862	234.05104053529223 Angstrom
10005217	4.8883230178694	-3011.09290155783	48.61651407677304 Angstrom	-6515.6439730195	152.86804523330082 Angstrom	-674.48912294357	34.36468572238425 Angstrom	-1249.80162720188	94.86344097777331 Angstrom	-2601.73574131706	48.08626834673394 Angstrom	-3826.59693128363	113.08790211868438 Angstrom
10016374	5.50325569707072	-859.58207266731	35.94184425571179 Angstrom	-982.00450186012	71.29866228134513 Angstrom	-168.203697408877	13.126837074065193 Angstrom	-155.011277700646	21.476629727505706 Angstrom	-1391.16563816908	22.660417842516736 Angstrom	-1344.29435191755	40.47635549117959 Angstrom
3334	6.70593	-427.347567709397	153.53336015839525 Angstrom	-381.280437612052	118.90513375339071 Angstrom	-39.0908297771495	441.8388619143832 Angstrom	50.1996025252338	221.60906986044384 Angstrom	-1643.91180052609	224.16984456124231 Angstrom	-1058.78040512962	88.7480207417508 Angstrom
10035295	3.58892350772953	-1299.87426188023	23.266045543923717 Angstrom	-1048.24431070023	34.37907065859579 Angstrom	-167.342392814083	13.284137999300127 Angstrom	-165.211476537228	25.636739955090196 Angstrom	-1725.96757290973	25.676371660331615 Angstrom	-1681.89186404087	41.545262288133465 Angstrom
17777	4.13366013096712	-201.612347800922	12.899085320717118 Angstrom	-196.15323642485	28.505720239537904 Angstrom	-23.4891268816722	10.234198888578362 Angstrom	-27.9244072641431	21.0278911177905 Angstrom	-371.549475589473	24.712207099007365 Angstrom	-374.00442533514	38.13155114943772 Angstrom
9422	5.935895	-2004.21092474528	22.108596514464693 Angstrom	-2622.02719286425	53.73231367344528 Angstrom	-355.580010606291	6.048771535159567 Angstrom	-454.056064526165	16.06855836844846 Angstrom	-2676.09659888659	18.498204142313675 Angstrom	-3191.54554998073	49.72586279227152 Angstrom
3184	3.46762	-278.143878087188	7.109988927732928 Angstrom	-312.631686962319	15.124274466393194 Angstrom	-25.9091992969777	3.136847273392678 Angstrom	-16.25971829362	4.959723196754207 Angstrom	-353.920835962536	4.870873481222012 Angstrom	-444.970291561157	14.61344302601071 Angstrom
16625	6.630648	-4214.67085955668	212.6851509548833 Angstrom	-1401.26406423334	109.96957086136037 Angstrom	-726.930516208074	58.57709511524165 Angstrom	-479.767540205522	55.62793885211612 Angstrom	-2490.45485495501	112.33098662673756 Angstrom	-2263.15784537362	141.923508939094 Angstrom
10013609	6.928894	2879.48389077996	191.29797916659533 Angstrom	-4345.16134953159	2530.3063182877795 Angstrom	-198.525314818835	22.802914163150852 Angstrom	-230.330729270434	47.19523327687497 Angstrom	-1924.92673626095	63.394163717575765 Angstrom	-1759.04805623804	107.47808668032626 Angstrom
5329	3.5873007444784	-49.7229843846866	4.646873105403926 Angstrom	-40.7992100627509	6.385318902702934 Angstrom	-7.53509726993349	3.0492585848046243 Angstrom	-7.65069557688863	3.6934912363292844 Angstrom	-53.6713722799877	6.206470499884712 Angstrom	-44.8789540796285	10.696066722699952 Angstrom
10009693	6.28599376348805	-318.95682875326	174.64163372927692 Angstrom	-428.758922755666	566.4464956024746 Angstrom	-201.741971713894	216.88724298193668 Angstrom	-37.1780020772463	116.63252416095472 Angstrom	-2013.7109604854	334.0477507445396 Angstrom	-653.136261091671	215.5443213924367 Angstrom
19606	5.88913558713673	-1092.27335656993	82.14927576231868 Angstrom	-990.530799362387	104.18580764060212 Angstrom	-139.363297681636	18.024580997331693 Angstrom	-159.516916543747	40.315699747955904 Angstrom	-1084.07520148289	39.65310190592085 Angstrom	-1446.95535871411	82.72752534921312 Angstrom
17072	4.70200977971638	-169.515194426339	18.85003867736762 Angstrom	-140.539417613922	23.132425501711932 Angstrom	-15.0182529339863	10.153369759197128 Angstrom	-12.7327611857709	17.086098137448783 Angstrom	-210.406436950564	19.501482169450828 Angstrom	-199.319932350938	32.40169998995404 Angstrom
9452	5.12243857379367	-8401.14177053928	1348.8348723331924 Angstrom	-1511.85324569347	377.4065835083103 Angstrom	-49.1197030076373	39.14160455870947 Angstrom	-68.2203933654637	45.556489965617274 Angstrom	-910.044725426658	82.17183691334071 Angstrom	-835.889895455256	124.54824832430945 Angstrom
4404	5.763688	-1205.50934035748	47.99633130185663 Angstrom	-1069.88186752935	82.93311184549498 Angstrom	-206.972835870657	14.704578167831665 Angstrom	-250.252077866674	27.126091664673073 Angstrom	-1461.58860411175	29.503507778940683 Angstrom	-1510.93451655268	55.225343386391586 Angstrom
7624	4.854	-38.4241118740309	16.580364868072 Angstrom	-66.9224213939735	23.489121057913177 Angstrom	4.59791179053129	7.6480024876330015 Angstrom	1.89372392470682	6.468812146743591 Angstrom	-80.2735949058837	22.99503359051717 Angstrom	-133.699110502494	34.93006041312774 Angstrom
8083	4.6487198664651	-1219.20230359208	13.417078132793533 Angstrom	-1314.31026560627	27.095325187976574 Angstrom	-147.091842696004	3.1883740338429676 Angstrom	-173.552461433123	9.248500077983925 Angstrom	-1953.9583178454	14.27520190520355 Angstrom	-2181.76528753672	29.343185347341997 Angstrom
5329	3.5873007444784	-49.7229843846866	4.646873105403926 Angstrom	-40.7992100627509	6.385318902702934 Angstrom	-7.53509726993349	3.0492585848046243 Angstrom	-7.65069557688863	3.6934912363292844 Angstrom	-53.6713722799877	6.206470499884712 Angstrom	-44.8789540796285	10.696066722699952 Angstrom
